newLat,newLng,geometry,
25.0173405,121.5397518,
21.9414135330001,120.720446352,c(120.720446352,21.9414135330001)
21.9414135330001,120.800460992,c(120.800460992,21.9414135330001)
21.9414135330001,120.840468312,c(120.840468312,21.9414135330001)
21.9814483630001,120.720446352,c(120.720446352,21.9814483630001)
21.9814483630001,120.760453672,c(120.760453672,21.9814483630001)
21.9814483630001,120.800460992,c(120.800460992,21.9814483630001)
21.9814483630001,120.840468312,c(120.840468312,21.9814483630001)
22.0214831930001,120.720446352,c(120.720446352,22.0214831930001)
22.0214831930001,120.760453672,c(120.760453672,22.0214831930001)